ds_type,pipeline_base_name,pipeline_category,operator_index,operator_name,full_pipeline_name,full_scale_token,full_scale_value,full_actual_time,full_pred_time
image,image_pipeline_1781071560242,mapper-heavy,2,image_aspect_ratio_filter,image_pipeline_1781071560242_8G,8G,8192.0,22.365,15.126455307006836
image,image_pipeline_1781071560242,mapper-heavy,3,image_shape_filter,image_pipeline_1781071560242_8G,8G,8192.0,14.777,12.174094200134277
image,image_pipeline_1781071560242,mapper-heavy,4,image_segment_mapper,image_pipeline_1781071560242_8G,8G,8192.0,31.207,31.517536163330078
image,image_pipeline_1781071560242,mapper-heavy,5,image_remove_background_mapper,image_pipeline_1781071560242_8G,8G,8192.0,61.977,113.83999633789062
image,image_pipeline_1781071560242,mapper-heavy,6,image_blur_mapper,image_pipeline_1781071560242_8G,8G,8192.0,2.87,1.8457820415496826
image,image_pipeline_1781071560242,mapper-heavy,7,image_tagging_mapper,image_pipeline_1781071560242_8G,8G,8192.0,30.18,41.17532730102539
image,image_pipeline_1781071560252,mixed,1,image_size_filter,image_pipeline_1781071560252_8G,8G,8192.0,4.064,3.5943498611450195
image,image_pipeline_1781071560252,mixed,2,image_deduplicator,image_pipeline_1781071560252_8G,8G,8192.0,20.978,19.070903778076172
image,image_pipeline_1781071560252,mixed,3,image_aspect_ratio_filter,image_pipeline_1781071560252_8G,8G,8192.0,11.383,10.21161937713623
image,image_pipeline_1781071560252,mixed,4,image_shape_filter,image_pipeline_1781071560252_8G,8G,8192.0,7.758,7.354042053222656
image,image_pipeline_1781071560252,mixed,5,image_segment_mapper,image_pipeline_1781071560252_8G,8G,8192.0,16.199,12.571945190429688
image,image_pipeline_1781071560252,mixed,6,image_detection_yolo_mapper,image_pipeline_1781071560252_8G,8G,8192.0,0.871,1.9957726001739502
image,image_pipeline_1781071560252,mixed,7,image_remove_background_mapper,image_pipeline_1781071560252_8G,8G,8192.0,4.784,9.87258529663086
image,image_pipeline_1781071560252,mixed,8,image_tagging_mapper,image_pipeline_1781071560252_8G,8G,8192.0,16.403,26.9290828704834
image,image_pipeline_1781071560263,filter-heavy,1,image_size_filter,image_pipeline_1781071560263_8G,8G,8192.0,2.697,2.6627211570739746
image,image_pipeline_1781071560263,filter-heavy,2,image_deduplicator,image_pipeline_1781071560263_8G,8G,8192.0,11.588,13.012426376342773
image,image_pipeline_1781071560263,filter-heavy,3,image_shape_filter,image_pipeline_1781071560263_8G,8G,8192.0,7.391,6.186387538909912
image,image_pipeline_1781071560263,filter-heavy,4,image_aspect_ratio_filter,image_pipeline_1781071560263_8G,8G,8192.0,2.357,2.4955570697784424
image,image_pipeline_1781071560263,filter-heavy,5,image_nsfw_filter,image_pipeline_1781071560263_8G,8G,8192.0,17.031,19.15957260131836
image,image_pipeline_1781071560263,filter-heavy,6,image_face_ratio_filter,image_pipeline_1781071560263_8G,8G,8192.0,12.983,11.796930313110352
image,image_pipeline_1781071560263,filter-heavy,7,image_face_count_filter,image_pipeline_1781071560263_8G,8G,8192.0,0.774,0.8830969333648682
image,image_pipeline_1781071560263,filter-heavy,8,image_segment_mapper,image_pipeline_1781071560263_8G,8G,8192.0,0.745,0.8847547769546509
text,text_pipeline_1781071569367,mapper-heavy,1,punctuation_normalization_mapper,text_pipeline_1781071569367_10000,10000,10000.0,1.52,4.102908134460449
text,text_pipeline_1781071569367,mapper-heavy,2,whitespace_normalization_mapper,text_pipeline_1781071569367_10000,10000,10000.0,1.524,4.178374290466309
text,text_pipeline_1781071569367,mapper-heavy,3,fix_unicode_mapper,text_pipeline_1781071569367_10000,10000,10000.0,1.525,4.451690196990967
text,text_pipeline_1781071569367,mapper-heavy,4,sentence_split_mapper,text_pipeline_1781071569367_10000,10000,10000.0,1.522,4.4422407150268555
text,text_pipeline_1781071569367,mapper-heavy,5,remove_long_words_mapper,text_pipeline_1781071569367_10000,10000,10000.0,1.561,4.118107318878174
text,text_pipeline_1781071569367,mapper-heavy,6,clean_copyright_mapper,text_pipeline_1781071569367_10000,10000,10000.0,2.788,5.326239109039307
text,text_pipeline_1781071569367,mapper-heavy,7,clean_ip_mapper,text_pipeline_1781071569367_10000,10000,10000.0,2.225,4.518604278564453
text,text_pipeline_1781071569367,mapper-heavy,8,clean_email_mapper,text_pipeline_1781071569367_10000,10000,10000.0,2.815,4.19957160949707
text,text_pipeline_1781071569367,mapper-heavy,9,clean_links_mapper,text_pipeline_1781071569367_10000,10000,10000.0,1.545,6.123483657836914
text,text_pipeline_1781071569367,mapper-heavy,10,replace_content_mapper,text_pipeline_1781071569367_10000,10000,10000.0,2.842,4.899980545043945
text,text_pipeline_1781071569367,mapper-heavy,11,remove_words_with_incorrect_substrings_mapper,text_pipeline_1781071569367_10000,10000,10000.0,3.469,4.8673200607299805
text,text_pipeline_1781071569367,mapper-heavy,12,text_length_filter,text_pipeline_1781071569367_10000,10000,10000.0,3.448,6.584484577178955
text,text_pipeline_1781071569367,mapper-heavy,13,words_num_filter,text_pipeline_1781071569367_10000,10000,10000.0,2.946,6.134817600250244
text,text_pipeline_1781071569367,mapper-heavy,14,word_repetition_filter,text_pipeline_1781071569367_10000,10000,10000.0,2.913,6.060586452484131
text,text_pipeline_1781071569367,mapper-heavy,15,language_id_score_filter,text_pipeline_1781071569367_10000,10000,10000.0,3.622,6.664859294891357
text,text_pipeline_1781071569367,mapper-heavy,16,document_simhash_deduplicator,text_pipeline_1781071569367_10000,10000,10000.0,2.188,4.791964530944824
text,text_pipeline_1781071569512,mixed,1,punctuation_normalization_mapper,text_pipeline_1781071569512_10000,10000,10000.0,2.16,4.028974533081055
text,text_pipeline_1781071569512,mixed,2,whitespace_normalization_mapper,text_pipeline_1781071569512_10000,10000,10000.0,2.233,3.9508142471313477
text,text_pipeline_1781071569512,mixed,3,remove_words_with_incorrect_substrings_mapper,text_pipeline_1781071569512_10000,10000,10000.0,2.84,4.6826934814453125
text,text_pipeline_1781071569512,mixed,4,remove_specific_chars_mapper,text_pipeline_1781071569512_10000,10000,10000.0,1.496,4.316578388214111
text,text_pipeline_1781071569512,mixed,5,clean_email_mapper,text_pipeline_1781071569512_10000,10000,10000.0,1.543,4.141485214233398
text,text_pipeline_1781071569512,mixed,6,clean_links_mapper,text_pipeline_1781071569512_10000,10000,10000.0,2.9,6.124838352203369
text,text_pipeline_1781071569512,mixed,7,remove_repeat_sentences_mapper,text_pipeline_1781071569512_10000,10000,10000.0,1.468,4.176860332489014
text,text_pipeline_1781071569512,mixed,8,clean_copyright_mapper,text_pipeline_1781071569512_10000,10000,10000.0,2.901,4.930269241333008
text,text_pipeline_1781071569512,mixed,9,clean_ip_mapper,text_pipeline_1781071569512_10000,10000,10000.0,2.18,4.425908088684082
text,text_pipeline_1781071569512,mixed,10,remove_table_text_mapper,text_pipeline_1781071569512_10000,10000,10000.0,3.538,5.9607062339782715
text,text_pipeline_1781071569512,mixed,11,alphanumeric_filter,text_pipeline_1781071569512_10000,10000,10000.0,20.17,17.178974151611328
text,text_pipeline_1781071569512,mixed,12,maximum_line_length_filter,text_pipeline_1781071569512_10000,10000,10000.0,0.802,2.813249349594116
text,text_pipeline_1781071569512,mixed,13,token_num_filter,text_pipeline_1781071569512_10000,10000,10000.0,0.793,0.8174519538879395
text,text_pipeline_1781071569512,mixed,14,text_entity_dependency_filter,text_pipeline_1781071569512_10000,10000,10000.0,0.805,0.8972533941268921
text,text_pipeline_1781071569512,mixed,15,text_action_filter,text_pipeline_1781071569512_10000,10000,10000.0,0.831,0.8048011064529419
text,text_pipeline_1781071569512,mixed,16,perplexity_filter,text_pipeline_1781071569512_10000,10000,10000.0,0.792,0.8608812093734741
text,text_pipeline_1781071569512,mixed,17,language_id_score_filter,text_pipeline_1781071569512_10000,10000,10000.0,0.721,0.8190042972564697
text,text_pipeline_1781071569512,mixed,18,words_num_filter,text_pipeline_1781071569512_10000,10000,10000.0,0.79,0.803954005241394
text,text_pipeline_1781071569512,mixed,19,word_repetition_filter,text_pipeline_1781071569512_10000,10000,10000.0,0.821,0.7757812738418579
text,text_pipeline_1781071569512,mixed,20,document_simhash_deduplicator,text_pipeline_1781071569512_10000,10000,10000.0,0.771,0.7950565814971924
text,text_pipeline_1781071569701,filter-heavy,1,fix_unicode_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.199,4.817114353179932
text,text_pipeline_1781071569701,filter-heavy,2,punctuation_normalization_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.136,5.154290199279785
text,text_pipeline_1781071569701,filter-heavy,3,whitespace_normalization_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.202,4.844281196594238
text,text_pipeline_1781071569701,filter-heavy,4,clean_links_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.138,7.014617919921875
text,text_pipeline_1781071569701,filter-heavy,5,sentence_split_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.175,5.114809513092041
text,text_pipeline_1781071569701,filter-heavy,6,remove_specific_chars_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.194,5.0780110359191895
text,text_pipeline_1781071569701,filter-heavy,7,remove_words_with_incorrect_substrings_mapper,text_pipeline_1781071569701_10000,10000,10000.0,3.524,5.527007579803467
text,text_pipeline_1781071569701,filter-heavy,8,clean_ip_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.249,5.284639835357666
text,text_pipeline_1781071569701,filter-heavy,9,clean_copyright_mapper,text_pipeline_1781071569701_10000,10000,10000.0,3.496,5.744252681732178
text,text_pipeline_1781071569701,filter-heavy,10,remove_table_text_mapper,text_pipeline_1781071569701_10000,10000,10000.0,4.664,6.823902606964111
text,text_pipeline_1781071569701,filter-heavy,11,remove_repeat_sentences_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.129,4.903219699859619
text,text_pipeline_1781071569701,filter-heavy,12,remove_long_words_mapper,text_pipeline_1781071569701_10000,10000,10000.0,2.201,4.813656330108643
text,text_pipeline_1781071569701,filter-heavy,13,text_length_filter,text_pipeline_1781071569701_10000,10000,10000.0,4.895,8.784638404846191
text,text_pipeline_1781071569701,filter-heavy,14,character_repetition_filter,text_pipeline_1781071569701_10000,10000,10000.0,4.884,7.474931716918945
text,text_pipeline_1781071569701,filter-heavy,15,words_num_filter,text_pipeline_1781071569701_10000,10000,10000.0,4.449,7.366609573364258
text,text_pipeline_1781071569701,filter-heavy,16,maximum_line_length_filter,text_pipeline_1781071569701_10000,10000,10000.0,4.348,6.734554767608643
text,text_pipeline_1781071569701,filter-heavy,17,alphanumeric_filter,text_pipeline_1781071569701_10000,10000,10000.0,1.496,2.689673900604248
text,text_pipeline_1781071569701,filter-heavy,18,word_repetition_filter,text_pipeline_1781071569701_10000,10000,10000.0,0.831,3.173119068145752
text,text_pipeline_1781071569701,filter-heavy,19,average_line_length_filter,text_pipeline_1781071569701_10000,10000,10000.0,0.819,0.9843624830245972
text,text_pipeline_1781071569701,filter-heavy,20,text_entity_dependency_filter,text_pipeline_1781071569701_10000,10000,10000.0,0.776,0.9702112674713135
text,text_pipeline_1781071569701,filter-heavy,21,stopwords_filter,text_pipeline_1781071569701_10000,10000,10000.0,0.811,0.7917017936706543
text,text_pipeline_1781071569701,filter-heavy,22,flagged_words_filter,text_pipeline_1781071569701_10000,10000,10000.0,0.775,0.8645788431167603
text,text_pipeline_1781071569701,filter-heavy,23,document_simhash_deduplicator,text_pipeline_1781071569701_10000,10000,10000.0,0.784,0.8198164701461792
